#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Jimmer Fredette,BYU,37,35.8,9.4,20.7,0.452,3.4,8.5,0.396,6.8,7.6,0.894,3.5,1.3,0.6,2.8,3.5,4.3,1.3,0.0,28.9
2,MarShon Brooks,PROV,32,36.5,8.6,17.8,0.483,2.1,6.2,0.34,5.3,6.8,0.772,3.1,2.5,2.2,4.8,7.0,2.5,1.5,1.2,24.6
3,Adrian Oliver,SJSU,31,35.0,7.9,18.4,0.43200000000000005,2.3,5.5,0.409,5.8,7.1,0.823,3.1,2.7,1.3,4.1,5.3,2.5,0.7,0.4,24.0
4,Andrew Goudelock,C of C,37,35.2,8.6,18.9,0.455,3.5,8.7,0.40700000000000003,3.0,3.6,0.821,3.2,1.8,0.7,3.2,3.9,4.2,0.9,0.2,23.7
5,Kemba Walker,UConn,41,37.6,7.7,18.0,0.428,1.8,5.5,0.33,6.3,7.7,0.8190000000000001,2.3,1.4,1.3,4.1,5.4,4.5,1.9,0.2,23.5
6,Andrew Gonzalez,HBU,30,37.0,6.8,16.4,0.415,1.9,5.0,0.389,7.3,9.0,0.815,3.5,2.3,1.6,4.0,5.5,2.2,1.6,0.5,22.9
7,Charles Jenkins,HOF,33,37.3,7.5,14.6,0.517,2.0,4.8,0.42,5.5,6.7,0.8240000000000001,2.2,2.0,0.5,2.8,3.3,4.8,1.7,0.6,22.6
8,Xavier Silas,NIU,26,32.0,6.8,14.9,0.45899999999999996,2.0,4.8,0.413,6.6,7.7,0.851,4.0,2.7,0.8,3.8,4.6,1.8,1.2,0.3,22.3
9,Anatoly Bose,NSU,28,34.1,6.4,16.1,0.39399999999999996,2.4,7.4,0.325,7.0,8.8,0.7929999999999999,3.4,2.4,1.2,4.6,5.9,2.2,1.4,0.2,22.1
10,C.J. McCollum,LU,31,34.6,6.9,17.3,0.39899999999999997,1.7,5.3,0.315,6.4,7.5,0.845,2.8,1.7,1.9,5.9,7.8,2.2,2.5,0.7,21.8
