Pk,Tm,Player,College
1,WAS,John Wall,Kentucky
2,PHI,Evan Turner,Ohio State
3,NJN,Derrick Favors,Georgia Tech
4,MIN,Wesley Johnson,Syracuse
5,SAC,DeMarcus Cousins,Kentucky
6,GSW,Ekpe Udoh,Baylor
7,DET,Greg Monroe,Georgetown
8,LAC,Al-Farouq Aminu,Wake Forest
9,UTA,Gordon Hayward,Butler
10,IND,Paul George,Fresno State
11,NOH,Cole Aldrich,Kansas
12,MEM,Xavier Henry,Kansas
13,TOR,Ed Davis,UNC
14,HOU,Patrick Patterson,Kentucky
15,MIL,Larry Sanders,VCU
16,MIN,Luke Babbitt,Nevada
18,OKC,Eric Bledsoe,Kentucky
19,BOS,Avery Bradley,Texas
20,SAS,James Anderson,Oklahoma State
21,OKC,Craig Brackins,Iowa State
22,POR,Elliot Williams,Memphis
23,MIN,Trevor Booker,Clemson
24,ATL,Damion James,Texas
25,MEM,Dominique Jones,South Florida
26,OKC,Quincy Pondexter,Washington
27,NJN,Jordan Crawford,Xavier
28,MEM,Greivis Vásquez,Maryland
29,ORL,Daniel Orton,Kentucky
30,WAS,Lazar Hayward,Marquette
32,MIA,Dexter Pittman,Texas
33,SAC,Hassan Whiteside,Marshall
34,POR,Armon Johnson,Nevada
36,DET,Terrico White,Ole Miss
37,MIL,Darington Hobson,New Mexico
38,NYK,Andy Rautins,Syracuse
39,NYK,Landry Fields,Stanford
40,IND,Lance Stephenson,Cincinnati
41,MIA,Jarvis Varnado,Mississippi State
42,MIA,Da'Sean Butler,West Virginia
43,LAL,Devin Ebanks,West Virginia
44,MIL,Jerome Jordan,Tulsa
46,PHO,Gani Lawal,Georgia Tech
47,MIL,Tiny Gallon,Oklahoma
50,DAL,Solomon Alabi,Florida State
51,OKC,Magnum Rolle,Louisiana Tech
52,BOS,Luke Harangody,Notre Dame
54,LAC,Willie Warren,Oklahoma
55,UTA,Jeremy Evans,Western Kentucky
56,MIN,Hamady N'Diaye,Rutgers University
57,IND,Ryan Reid,Florida State
58,LAL,Derrick Caracter,Texas-El Paso
59,ORL,Stanley Robinson,UConn
60,PHO,Dwayne Collins,Miami (FL)
