Pk,Tm,Player,College,Year
1,POR,Greg Oden,Ohio State,2007
2,SEA,Kevin Durant,Texas,2007
3,ATL,Al Horford,Florida,2007
4,MEM,Mike Conley,Ohio State,2007
5,BOS,Jeff Green,Georgetown,2007
7,MIN,Corey Brewer,Florida,2007
8,CHA,Brandan Wright,UNC,2007
9,CHI,Joakim Noah,Florida,2007
10,SAC,Spencer Hawes,Washington,2007
11,ATL,Acie Law,Texas A&M,2007
12,PHI,Thaddeus Young,Georgia Tech,2007
13,NOK,Julian Wright,Kansas,2007
14,LAC,Al Thornton,Florida State,2007
15,DET,Rodney Stuckey,Eastern Washington,2007
16,WAS,Nick Young,USC,2007
17,NJN,Sean Williams,Boston College,2007
19,LAL,Javaris Crittenton,Georgia Tech,2007
20,MIA,Jason Smith,Colorado State,2007
21,PHI,Daequan Cook,Ohio State,2007
22,CHA,Jared Dudley,Boston College,2007
23,NYK,Wilson Chandler,DePaul,2007
25,UTA,Morris Almond,Rice University,2007
26,HOU,Aaron Brooks,Oregon,2007
27,DET,Arron Afflalo,UCLA,2007
29,PHO,Alando Tucker,Wisconsin,2007
31,SEA,Carl Landry,Purdue,2007
32,BOS,Gabe Pruitt,USC,2007
33,SAS,Marcus Williams,Arizona,2007
34,DAL,Nick Fazekas,Nevada,2007
35,SEA,Glen Davis,LSU,2007
36,GSW,Jermareo Davidson,Alabama,2007
37,POR,Josh McRoberts,Duke,2007
41,MIN,Chris Richard,Florida,2007
42,POR,Derrick Byars,Vanderbilt,2007
43,NOK,Adam Haluska,Iowa,2007
44,ORL,Reyshawn Terry,UNC,2007
45,LAC,Jared Jordan,Marist College,2007
46,GSW,Stephane Lasme,UMass,2007
47,WAS,Dominic McGuire,Fresno State,2007
49,CHI,Aaron Gray,Pitt,2007
51,CHI,JamesOn Curry,Oklahoma State,2007
52,POR,Taurean Green,Florida,2007
53,POR,Demetris Nichols,Syracuse,2007
55,UTA,Herbert Hill,Providence,2007
56,MIL,Ramon Sessions,Nevada,2007
57,DET,Sammy Mejia,DePaul,2007
59,PHO,D.J. Strawberry,Maryland,2007
1,CHI,Derrick Rose,Memphis,2008
2,MIA,Michael Beasley,Kansas State,2008
3,MIN,O.J. Mayo,USC,2008
4,SEA,Russell Westbrook,UCLA,2008
5,MEM,Kevin Love,UCLA,2008
7,LAC,Eric Gordon,Indiana,2008
8,MIL,Joe Alexander,West Virginia,2008
9,CHA,D.J. Augustin,Texas,2008
10,NJN,Brook Lopez,Stanford,2008
11,IND,Jerryd Bayless,Arizona,2008
12,SAC,Jason Thompson,Rider University,2008
13,POR,Brandon Rush,Kansas,2008
14,GSW,Anthony Randolph,LSU,2008
15,PHO,Robin Lopez,Stanford,2008
16,PHI,Marreese Speights,Florida,2008
17,TOR,Roy Hibbert,Georgetown,2008
18,WAS,JaVale McGee,Nevada,2008
19,CLE,J.J. Hickson,NC State,2008
21,NJN,Ryan Anderson,California,2008
22,ORL,Courtney Lee,Western Kentucky,2008
23,UTA,Kosta Koufos,Ohio State,2008
26,SAS,George Hill,IUPUI,2008
27,NOH,Darrell Arthur,Kansas,2008
28,MEM,Donte Greene,Syracuse,2008
29,DET,D.J. White,Indiana,2008
30,BOS,J.R. Giddens,New Mexico,2008
32,SEA,Walter Sharpe,UAB,2008
33,POR,Joey Dorsey,Memphis,2008
34,MIN,Mario Chalmers,Kansas,2008
35,LAC,DeAndre Jordan,Texas A&M,2008
37,MIL,Luc Mbah a Moute,UCLA,2008
38,CHA,Kyle Weaver,Washington State,2008
39,CHI,Sonny Weems,Arkansas,2008
40,NJN,Chris Douglas-Roberts,Memphis,2008
42,SAC,Sean Singletary,Virginia,2008
43,SAC,Patrick Ewing,Georgetown,2008
46,SEA,Trent Plaisted,Brigham Young University Hawaii,2008
47,WAS,Henry Walker,Kansas State,2008
48,PHO,Malik Hairston,Oregon,2008
49,GSW,Richard Hendrix,Alabama,2008
50,SEA,DeVon Hardin,California,2008
51,DAL,Shan Foster,Vanderbilt,2008
52,MIA,Darnell Jackson,Kansas,2008
54,HOU,Maarty Leunen,Oregon,2008
55,POR,Mike Taylor,Iowa State,2008
56,SEA,Sasha Kaun,Kansas,2008
57,SAS,James Gist,Maryland,2008
58,LAL,Joe Crawford,Kentucky,2008
59,DET,Deron Washington,Virginia Tech,2008
1,LAC,Blake Griffin,Oklahoma,2009
2,MEM,Hasheem Thabeet,UConn,2009
3,OKC,James Harden,Arizona State,2009
4,SAC,Tyreke Evans,Memphis,2009
6,MIN,Jonny Flynn,Syracuse,2009
7,GSW,Stephen Curry,Davidson,2009
8,NYK,Jordan Hill,Arizona,2009
9,TOR,DeMar DeRozan,USC,2009
11,NJN,Terrence Williams,Louisville,2009
12,CHA,Gerald Henderson,Duke,2009
13,IND,Tyler Hansbrough,UNC,2009
14,PHO,Earl Clark,Louisville,2009
15,DET,Austin Daye,Gonzaga,2009
16,CHI,James Johnson,Wake Forest,2009
17,PHI,Jrue Holiday,UCLA,2009
18,MIN,Ty Lawson,UNC,2009
19,ATL,Jeff Teague,Wake Forest,2009
20,UTA,Eric Maynor,VCU,2009
21,NOH,Darren Collison,UCLA,2009
24,DAL,Byron Mullens,Ohio State,2009
26,CHI,Taj Gibson,USC,2009
27,MEM,DeMarre Carroll,Missouri,2009
28,MIN,Wayne Ellington,UNC,2009
29,LAL,Toney Douglas,Florida State,2009
31,SAC,Jeff Ayres,Arizona State,2009
32,WAS,Jermaine Taylor,Central Florida,2009
33,POR,Dante Cunningham,Villanova,2009
35,DET,DaJuan Summers,Georgetown,2009
36,MEM,Sam Young,Pitt,2009
37,SAS,DeJuan Blair,Pitt,2009
38,POR,Jon Brockman,Washington,2009
40,CHA,Derrick Brown,Xavier,2009
41,MIL,Jodie Meeks,Kentucky,2009
42,LAL,Patrick Beverley,Arkansas,2009
43,MIA,Marcus Thornton,LSU,2009
44,DET,Chase Budinger,Arizona,2009
45,MIN,Nick Calathes,Florida,2009
46,CLE,Danny Green,UNC,2009
48,PHO,Taylor Griffin,Oklahoma,2009
50,UTA,Goran Suton,Michigan State,2009
51,SAS,Jack McClinton,Miami (FL),2009
52,IND,A.J. Price,UConn,2009
54,CHA,Robert Vaden,UAB,2009
55,POR,Patty Mills,Saint Mary's,2009
56,DAL,Ahmad Nivins,Saint Joseph's,2009
58,BOS,Lester Hudson,University of Tennessee at Martin,2009
59,LAL,Chinemelu Elonu,Texas A&M,2009
60,MIA,Robert Dozier,Memphis,2009
1,WAS,John Wall,Kentucky,2010
2,PHI,Evan Turner,Ohio State,2010
3,NJN,Derrick Favors,Georgia Tech,2010
4,MIN,Wesley Johnson,Syracuse,2010
5,SAC,DeMarcus Cousins,Kentucky,2010
6,GSW,Ekpe Udoh,Baylor,2010
7,DET,Greg Monroe,Georgetown,2010
