#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
1,Max Abmas,ORU,28,37.0,8.0,16.8,0.478,3.6,8.3,0.433,4.9,5.5,0.89,2.3,2.2,0.4,2.8,3.2,3.9,1.5,0.2,24.6,2021
2,Luka Garza,UI,31,31.6,9.1,16.4,0.5529999999999999,1.4,3.2,0.44,4.5,6.4,0.7090000000000001,1.5,2.3,3.0,5.7,8.7,1.7,0.7,1.6,24.1,2021
3,Antoine Davis,UDM,22,38.5,8.1,19.1,0.424,3.8,10.1,0.3720000000000001,4.0,4.4,0.917,3.3,1.6,0.2,2.7,2.9,4.8,1.5,0.0,24.0,2021
4,Cam Thomas,LSU,29,33.9,7.0,17.2,0.406,2.3,7.2,0.325,6.7,7.6,0.882,1.7,1.4,0.6,2.8,3.4,1.4,0.9,0.2,23.0,2021
5,A.J. Green,UNI,3,36.3,8.7,18.7,0.464,3.7,9.0,0.407,1.3,2.0,0.667,3.7,2.0,1.0,4.7,5.7,2.7,1.3,0.7,22.3,2021
6,Loren Cristian Jackson,AKR,23,35.2,7.1,17.6,0.405,2.5,7.6,0.331,5.5,6.2,0.8809999999999999,3.0,1.8,0.7,2.4,3.1,6.1,1.0,0.0,22.3,2021
7,T.J. Starks,CSUN,20,33.6,7.8,17.1,0.455,1.9,5.2,0.369,4.2,5.3,0.785,3.0,1.9,0.6,2.5,3.0,3.0,1.4,0.1,21.7,2021
8,Marcus Burk,IUPUI,18,34.1,7.7,15.9,0.481,2.5,6.1,0.409,3.8,4.8,0.802,3.2,2.7,0.4,3.3,3.7,2.2,1.8,0.4,21.7,2021
9,Terry Taylor,APSU,27,37.0,8.4,16.2,0.521,0.9,3.2,0.279,3.9,4.9,0.794,2.7,1.7,5.1,6.0,11.1,1.6,1.2,0.9,21.6,2021
10,Stanley Umude,USD,25,32.3,7.7,16.4,0.469,1.6,4.4,0.355,4.6,5.8,0.799,2.5,2.1,0.5,6.5,7.0,3.0,0.4,0.4,21.5,2021
11,Justin Jaworski,LC,15,36.1,7.0,15.1,0.463,2.6,6.5,0.398,4.9,5.3,0.912,2.3,1.6,0.4,3.3,3.7,2.3,1.5,0.0,21.5,2021
12,Santiago Aldama,L-MD,17,35.0,7.9,15.5,0.513,1.9,5.1,0.368,3.5,5.1,0.6859999999999999,3.2,1.9,1.8,8.3,10.1,2.3,1.0,1.7,21.2,2021
13,Davion Warren,HU,25,35.0,7.5,16.4,0.455,1.9,6.4,0.302,4.3,5.7,0.755,3.7,2.7,1.3,5.0,6.3,3.0,2.1,0.6,21.2,2021
14,Tristan Jarrett,JSU,18,31.8,6.7,15.9,0.42,2.4,6.7,0.358,5.3,6.3,0.8420000000000001,3.0,2.3,1.2,4.2,5.3,1.4,1.4,0.4,21.1,2021
15,Michael Flowers,USA,28,37.2,6.7,15.2,0.438,3.1,8.1,0.388,4.5,5.5,0.818,3.0,2.1,0.4,4.3,4.6,3.6,1.6,0.1,21.0,2021
16,A.J. Bramah,RMU,12,34.2,8.0,15.7,0.511,0.0,0.2,0.0,5.0,6.2,0.8,2.9,2.6,2.8,7.5,10.3,1.6,1.4,0.4,21.0,2021
17,"Scotty Pippen, Jr.",VU,22,31.8,6.2,14.5,0.428,2.0,5.5,0.358,6.5,7.6,0.85,3.8,2.5,1.0,1.8,2.8,4.9,1.8,0.2,20.8,2021
18,John-Michael Wright,HP,22,33.5,6.9,16.4,0.418,2.2,6.4,0.343,4.8,6.2,0.779,2.2,2.2,1.3,3.9,5.2,3.2,1.6,0.3,20.7,2021
19,Jamir Harris,AU,10,39.0,6.7,14.2,0.472,3.9,8.9,0.438,3.2,4.2,0.762,3.3,2.1,0.5,2.3,2.8,3.5,1.0,0.0,20.5,2021
20,Darrion Trammell,SEA,23,35.7,6.4,15.6,0.412,2.0,5.7,0.348,5.6,6.5,0.866,3.4,2.5,0.6,3.2,3.8,5.3,2.0,0.3,20.5,2021
21,Obadiah Noel,UML,19,32.5,6.3,13.0,0.486,1.5,4.7,0.326,6.1,8.1,0.753,3.3,2.8,1.1,3.4,4.5,3.1,1.1,0.2,20.3,2021
22,Cade Cunningham,OSU,27,35.4,6.5,14.8,0.438,2.3,5.7,0.4,4.9,5.8,0.846,4.0,2.5,0.7,5.5,6.2,3.5,1.6,0.8,20.1,2021
23,Ayo Dosunmu,U of I,28,35.2,7.5,15.4,0.488,1.1,3.0,0.386,4.0,5.1,0.7829999999999999,3.3,2.1,1.1,5.2,6.3,5.2,1.1,0.2,20.1,2021
24,"Phlandrous Fleming, Jr.",CSU,18,34.2,6.6,16.6,0.395,2.6,8.2,0.32,4.4,5.4,0.8059999999999999,2.7,2.7,0.9,6.5,7.4,2.3,1.8,0.9,20.1,2021
25,Jhivvan Jackson,UTSA,25,33.1,7.3,15.6,0.468,2.6,7.0,0.369,2.8,3.5,0.784,2.8,2.9,0.6,3.7,4.2,3.4,1.0,0.3,19.9,2021
26,Isiaih Mosley,MSU,24,33.7,7.0,13.9,0.505,1.4,3.7,0.386,4.4,5.2,0.847,3.4,2.3,0.6,5.7,6.2,3.1,1.0,0.1,19.8,2021
27,Julian Champagnie,STJ,25,32.8,6.6,15.3,0.433,2.4,6.3,0.38,4.1,4.6,0.887,1.9,1.8,1.6,5.7,7.4,1.3,1.4,1.0,19.8,2021
28,Matt Lewis,JMU,18,32.8,6.1,12.9,0.47,2.4,6.2,0.384,5.2,6.9,0.75,1.8,1.7,0.6,4.1,4.7,3.7,1.4,0.3,19.7,2021
29,Taevion Kinsey,MU,22,37.7,7.5,14.1,0.532,0.9,2.1,0.413,3.7,4.5,0.818,1.9,1.1,2.0,4.1,6.2,3.0,0.8,0.3,19.5,2021
30,"Richard Washington, Jr.",SJSU,16,32.1,6.7,16.7,0.401,2.6,7.5,0.342,3.6,4.5,0.792,1.9,1.6,1.4,3.8,5.2,2.2,0.4,0.2,19.5,2021
31,Nashon Hyland,VCU,24,31.9,6.3,14.2,0.447,2.9,7.8,0.371,3.9,4.5,0.862,3.1,2.2,0.2,4.5,4.7,2.1,1.9,0.2,19.5,2021
32,Marcus Carr,U of M,29,35.8,6.0,15.6,0.385,2.1,6.5,0.317,5.3,6.7,0.799,2.3,2.3,0.8,3.2,4.0,4.9,1.3,0.1,19.4,2021
33,Jalen Ray,HOF,23,37.2,6.7,15.8,0.42,2.8,7.5,0.37,3.3,3.9,0.843,2.1,2.3,0.6,2.8,3.3,3.3,1.7,0.3,19.3,2021
34,Devante' Jones,CCU,26,32.7,6.4,13.2,0.487,1.9,5.2,0.368,4.6,5.3,0.862,2.3,2.5,1.5,5.6,7.2,2.9,2.8,0.2,19.3,2021
35,Zach Nutall,SHSU,28,29.2,6.9,15.6,0.439,2.5,6.7,0.3720000000000001,3.1,4.5,0.696,3.1,2.0,0.9,4.8,5.7,1.8,1.0,0.3,19.3,2021
36,Danny Pippen,KSU,20,31.9,6.5,16.2,0.403,2.5,8.0,0.308,3.8,4.7,0.8059999999999999,3.7,2.4,2.6,6.0,8.7,2.8,0.8,1.3,19.3,2021
37,Justin Turner,BGSU,25,34.7,6.6,16.0,0.411,1.3,4.3,0.29600000000000004,4.9,5.6,0.878,1.9,1.8,0.7,3.6,4.3,4.3,1.5,0.2,19.3,2021
38,Isaiah Miller,UNCG,29,30.7,8.2,17.7,0.463,0.3,1.7,0.208,2.5,4.0,0.624,3.0,2.3,1.5,5.3,6.8,4.0,2.6,0.3,19.2,2021
39,Cameron Shelton,NAU,22,35.6,6.5,15.6,0.42,1.1,3.3,0.34700000000000003,5.0,6.9,0.7170000000000001,3.3,2.1,1.1,4.8,5.9,4.2,1.5,0.0,19.2,2021
40,Jase Townsend,UD,20,32.6,6.4,14.7,0.4370000000000001,1.9,5.8,0.339,4.4,5.0,0.889,2.5,2.5,0.6,3.6,4.2,2.2,1.1,0.0,19.1,2021
41,Remy Martin,ASU,23,33.5,6.1,14.2,0.433,2.0,5.9,0.34600000000000003,4.8,6.2,0.7759999999999999,2.4,1.6,0.5,2.3,2.8,3.7,1.2,0.0,19.1,2021
42,James Bishop IV,GW,17,36.2,6.5,15.3,0.4270000000000001,1.5,4.4,0.338,4.6,6.2,0.736,3.6,1.5,0.4,2.5,2.9,5.1,0.8,0.2,19.1,2021
43,Trayce Jackson-Davis,IU,27,34.3,6.8,13.1,0.517,0.0,0.0,0.0,5.6,8.5,0.655,2.2,2.1,3.2,5.8,9.0,1.4,0.7,1.4,19.1,2021
44,Troymain Crosby,ASU,15,29.4,6.3,13.7,0.459,0.5,1.8,0.29600000000000004,6.0,7.3,0.826,2.5,3.3,1.4,4.0,5.4,0.7,1.0,0.0,19.1,2021
45,Tyler Thomas,SHU,17,36.5,6.4,16.1,0.394,2.8,8.4,0.331,3.6,4.4,0.813,2.8,1.2,1.6,3.6,5.2,2.9,0.8,0.5,19.1,2021
46,Drew Timme,GU,32,28.1,7.4,11.3,0.655,0.2,0.7,0.28600000000000003,4.0,5.8,0.696,1.8,2.3,2.2,4.8,7.0,2.3,0.7,0.7,19.0,2021
47,Kendric Davis,SMU,17,34.6,6.7,13.9,0.481,1.5,3.9,0.373,4.1,4.9,0.833,2.4,1.6,0.5,3.7,4.2,7.6,1.6,0.1,19.0,2021
