Pk,Tm,Player,College
1,MIN,Anthony Edwards,Georgia
2,GSW,James Wiseman,Memphis
4,CHI,Patrick Williams,Florida State
5,CLE,Isaac Okoro,Auburn
6,ATL,Onyeka Okongwu,USC
8,NYK,Obi Toppin,Dayton
10,PHO,Jalen Smith,Maryland
11,SAS,Devin Vassell,Florida State
12,SAC,Tyrese Haliburton,Iowa State
13,NOP,Kira Lewis Jr.,Alabama
14,BOS,Aaron Nesmith,Vanderbilt
15,ORL,Cole Anthony,UNC
16,POR,Isaiah Stewart,Washington
18,DAL,Josh Green,Arizona
19,BRK,Saddiq Bey,Villanova
20,MIA,Precious Achiuwa,Memphis
21,PHI,Tyrese Maxey,Kentucky
22,DEN,Zeke Nnaji,Arizona
25,OKC,Immanuel Quickley,Kentucky
26,BOS,Payton Pritchard,Oregon
27,UTA,Udoka Azubuike,Kansas
28,LAL,Jaden McDaniels,Washington
29,TOR,Malachi Flynn,San Diego State
30,BOS,Desmond Bane,TCU
31,DAL,Tyrell Terry,Stanford
32,CHO,Vernon Carey Jr.,Duke
33,MIN,Daniel Oturu,Minnesota
35,SAC,Xavier Tillman Sr.,Michigan State
36,PHI,Tyler Bey,Colorado
38,UTA,Saben Lee,Vanderbilt
39,NOP,Elijah Hughes,Syracuse
40,MEM,Robert Woodard,Mississippi State
41,SAS,Tre Jones,Duke
42,NOP,Nick Richards,Kentucky
43,SAC,Jahmi'us Ramsey,Texas Tech
45,MIL,Jordan Nwora,Louisville
46,POR,CJ Elleby,Washington State
48,GSW,Nico Mannion,Arizona
49,PHI,Isaiah Joe,Arkansas
50,ATL,Skylar Mays,LSU
51,GSW,Justinian Jessup,Boise State
53,OKC,Cassius Winston,Michigan State
54,IND,Cassius Stanley,Duke
55,BRK,Jay Scrubb,John A. Logan College
56,CHO,Grant Riller,College of Charleston
57,LAC,Reggie Perry,Mississippi State
58,PHI,Paul Reed,DePaul
59,TOR,Jalen Harris,Nevada
60,NOP,Sam Merrill,Utah State University
