pk,tm,player1,college,conf
56,DAL,Ahmad Nivins,Saint Joseph's,A10
15,MIL,Larry Sanders,VCU,A10
21,ATL,DeAndre' Bembry,Saint Joseph's,A10
8,NYK,Obi Toppin,Dayton,A10
20,UTA,Eric Maynor,VCU,A10
7,GSW,Stephen Curry,Davidson,A10
60,PHI,Kostas Antetokounmpo,Dayton,A10
46,GSW,Stéphane Lasme,UMass,A10
32,CLE,Justin Harper,Richmond,A10
19,ORL,Andrew Nicholson,St. Bonaventure,A10
55,SAS,Cady Lalanne,UMass,A10
24,OKC,Reggie Jackson,Boston College,ACC
41,BRK,Pat Connaughton,Notre Dame,ACC
57,IND,Ryan Reid,Florida State,ACC
21,POR,Nolan Smith,Duke,ACC
48,LAC,Terance Mann,Florida State,ACC
60,PHO,Dwayne Collins,Miami (FL),ACC
1,CLE,Kyrie Irving,Duke,ACC
54,IND,Cassius Stanley,Duke,ACC
18,WAS,Chris Singleton,Florida State,ACC
17,NYK,Iman Shumpert,Georgia Tech,ACC
37,POR,Josh McRoberts,Duke,ACC
36,MIN,Rakeem Christmas,Syracuse,ACC
14,LAC,Al Thornton,Florida State,ACC
55,BRK,Marcus Paige,UNC,ACC
32,HOU,Montrezl Harrell,Louisville,ACC
29,BRK,Chris McCullough,Syracuse,ACC
25,LAC,Brice Johnson,UNC,ACC
24,CLE,Tyus Jones,Duke,ACC
3,BOS,Jayson Tatum,Duke,ACC
21,DAL,Justin Anderson,Virginia,ACC
19,WAS,Jerian Grant,Notre Dame,ACC
6,ORL,Jonathan Isaac,Florida State,ACC
28,MEM,Donté Greene,Syracuse,ACC
9,DAL,Dennis Smith Jr.,NC State,ACC
16,BOS,Terry Rozier,Louisville,ACC
13,LAC,Jerome Robinson,Boston College,ACC
12,DET,Luke Kennard,Duke,ACC
13,DEN,Donovan Mitchell,Louisville,ACC
2,SAC,Marvin Bagley III,Duke,ACC
15,POR,Justin Jackson,UNC,ACC
10,MIA,Justise Winslow,Duke,ACC
18,SAS,Lonnie Walker,Miami (FL),ACC
2,LAL,Brandon Ingram,Duke,ACC
19,ATL,John Collins,Wake Forest,ACC
20,POR,Harry Giles,Duke,ACC
3,PHI,Jahlil Okafor,Duke,ACC
58,PHI,J.P. Tokoto,UNC,ACC
24,UTA,Tyler Lydon,Syracuse,ACC
19,DEN,Malik Beasley,Florida State,ACC
28,LAL,Tony Bradley,UNC,ACC
37,SAC,Gary Trent Jr.,Duke,ACC
48,MIL,Lamar Patterson,Pitt,ACC
31,CHO,Frank Jackson,Duke,ACC
32,PHO,Davon Reed,Miami (FL),ACC
47,PHI,Russ Smith,Louisville,ACC
12,PHI,Thaddeus Young,Georgia Tech,ACC
39,PHI,Jerami Grant,Syracuse,ACC
42,DET,Bruce Brown,Miami (FL),ACC
40,NOP,Dwayne Bacon,Florida State,ACC
39,NOP,Elijah Hughes,Syracuse,ACC
17,DAL,Tyler Zeller,UNC,ACC
13,PHO,Kendall Marshall,UNC,ACC
10,NOH,Austin Rivers,Duke,ACC
38,NYK,Andy Rautins,Syracuse,ACC
7,GSW,Harrison Barnes,UNC,ACC
4,CLE,Dion Waiters,Syracuse,ACC
46,PHO,Gani Lawal,Georgia Tech,ACC
44,ORL,Reyshawn Terry,UNC,ACC
50,DAL,Solomon Alabi,Florida State,ACC
33,DET,Kyle Singler,Duke,ACC
52,BOS,Luke Harangody,Notre Dame,ACC
4,LAL,De'Andre Hunter,Virginia,ACC
51,BOS,Kris Joseph,Syracuse,ACC
8,LAC,Al-Farouq Aminu,Wake Forest,ACC
7,CHI,Coby White,UNC,ACC
10,ATL,Cam Reddish,Duke,ACC
43,ATL,Mike Scott,Virginia,ACC
11,MIN,Cameron Johnson,UNC,ACC
13,TOR,Ed Davis,UNC,ACC
59,TOR,Dewan Hernandez,Miami (FL),ACC
33,CLE,Bernard James,Florida State,ACC
17,BRK,Nickeil Alexander-Walker,Virginia Tech,ACC
24,PHI,Ty Jerome,Virginia,ACC
25,POR,Nassir Little,UNC,ACC
23,MIN,Trevor Booker,Clemson,ACC
26,IND,Miles Plumlee,Duke,ACC
49,CHI,Aaron Gray,Pitt,ACC
22,BOS,Fab Melo,Syracuse,ACC
42,UTA,Olivier Hanlan,Boston College,ACC
55,NYK,Kyle Guy,Virginia,ACC
27,BRK,Mfiondu Kabengele,Florida State,ACC
14,MIL,John Henson,UNC,ACC
17,NJN,Sean Williams,Boston College,ACC
7,CHI,Wendell Carter Jr.,Duke,ACC
59,SAS,Jaron Blossomgame,Clemson,ACC
33,CLE,Joe Harris,Virginia,ACC
32,PHI,K.J. McDaniels,Clemson,ACC
26,MIA,P.J. Hairston,UNC,ACC
42,SAC,Sean Singletary,Virginia,ACC
23,UTA,Rodney Hood,Duke,ACC
36,MIL,Malcolm Brogdon,Virginia,ACC
18,PHO,Tyler Ennis,Syracuse,ACC
19,LAL,Javaris Crittenton,Georgia Tech,ACC
32,CHO,Vernon Carey Jr.,Duke,ACC
14,PHO,T.J. Warren,NC State,ACC
2,MIL,Jabari Parker,Duke,ACC
37,HOU,Chinanu Onuaku,Louisville,ACC
56,DET,Peyton Siva,Louisville,ACC
52,MIN,Lorenzo Brown,NC State,ACC
20,MIN,Josh Okogie,Georgia Tech,ACC
48,LAL,Ryan Kelly,Duke,ACC
59,DET,Deron Washington,Virginia Tech,ACC
46,UTA,Erick Green,Virginia Tech,ACC
53,OKC,Devon Hall,Virginia,ACC
22,CHA,Jared Dudley,Boston College,ACC
6,MIN,Jonny Flynn,Syracuse,ACC
35,PHI,Glen Rice Jr.,Georgia Tech,ACC
11,NJN,Terrence Williams,Louisville,ACC
12,CHA,Gerald Henderson,Duke,ACC
13,IND,Tyler Hansbrough,UNC,ACC
14,PHO,Earl Clark,Louisville,ACC
56,PHI,Ray Spalding,Louisville,ACC
16,CHI,James Johnson,Wake Forest,ACC
19,CLE,J.J. Hickson,NC State,ACC
18,MIN,Ty Lawson,UNC,ACC
19,ATL,Jeff Teague,Wake Forest,ACC
53,POR,Demetris Nichols,Syracuse,ACC
21,UTA,Grayson Allen,Duke,ACC
41,SAS,Tre Jones,Duke,ACC
28,MIN,Wayne Ellington,UNC,ACC
29,LAL,Toney Douglas,Florida State,ACC
45,BOS,Demetrius Jackson,Notre Dame,ACC
25,LAC,Reggie Bullock,UNC,ACC
45,MIL,Jordan Nwora,Louisville,ACC
36,MEM,Sam Young,Pitt,ACC
37,SAS,DeJuan Blair,Pitt,ACC
22,BRK,Mason Plumlee,Duke,ACC
21,UTA,Gorgui Dieng,Louisville,ACC
18,ATL,Shane Larkin,Miami (FL),ACC
15,ORL,Cole Anthony,UNC,ACC
8,CHA,Brandan Wright,UNC,ACC
11,SAS,Devin Vassell,Florida State,ACC
46,CLE,Danny Green,UNC,ACC
12,OKC,Steven Adams,Pitt,ACC
51,SAS,Jack McClinton,Miami (FL),ACC
11,PHI,Michael Carter-Williams,Syracuse,ACC
1,NOP,Zion Williamson,Duke,ACC
22,CHO,Malachi Richardson,Syracuse,ACC
3,NYK,RJ Barrett,Duke,ACC
4,CHI,Patrick Williams,Florida State,ACC
49,DET,Michael Gbinije,Syracuse,ACC
3,NJN,Derrick Favors,Georgia Tech,ACC
4,MIN,Wesley Johnson,Syracuse,ACC
