Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Trae Young,OU,32,35.4,8.2,19.3,0.422,3.7,10.2,0.36,7.4,8.6,0.861,5.2,1.8,0.4,3.5,3.9,8.7,1.7,0.2,27.4
Kendrick Nunn,OU,30,37.9,8.7,20.1,0.435,4.5,11.3,0.394,4,4.7,0.838,2.9,2.2,0.9,3.8,4.7,3.8,1.5,0.4,25.9
Jordan Howard,UCA,35,36,8,17.5,0.457,3.2,8.2,0.394,5.9,6.7,0.888,2.3,1.2,0.3,3.3,3.6,2.7,1,0,25.1
Chris Clemons,CAM,31,34,7.5,16.6,0.452,3.1,8.3,0.371,6.8,7.9,0.861,2.7,1.9,0.3,4.3,4.6,3.1,1.6,0.3,24.9
Justin Wright-Foreman,HOF,31,37.8,8.5,19,0.449,3.1,8.5,0.366,4.2,5.3,0.799,2.2,2,0.3,3,3.3,3.2,0.8,0.2,24.4
Mike Daum,SDSU,35,31.1,7.8,16.9,0.462,2.7,6.5,0.425,5.5,6.5,0.851,2.1,2.4,1.8,8.4,10.3,1.3,0.5,0.7,23.9
R.J. Cole,HU,33,37.9,7.3,18.5,0.394,3.3,9.2,0.359,5.8,7.5,0.77,3.8,2.6,0.8,3.1,3.9,6,1.7,0,23.7
Demontrae Jefferson,TSU,27,37.6,7.7,18.3,0.42,3.1,8,0.394,4.8,5.9,0.823,3.1,2.5,0.7,2.4,3.1,4.6,1.3,0,23.3
Jon Elmore,MU,36,38.3,6.8,15.4,0.438,2.7,7.7,0.355,6.4,7.8,0.826,3.7,1.6,0.4,5.4,5.8,6.7,1.6,0.4,22.7
Bryson Scott,IPFW,33,31.1,7.5,16.4,0.457,1.5,5.1,0.296,6.1,7.5,0.818,2.8,2,0.6,3.9,4.5,2.6,2,0.2,22.6
Andre Spight,UNC,38,33.8,7.7,17.4,0.443,3.4,8.4,0.4,3.7,4.7,0.783,2.9,1.9,0.5,3.4,3.9,3.7,1.2,0.3,22.5
Matt Morgan,COR,28,34.6,7.3,14.8,0.492,2.7,7.2,0.369,5.2,6.4,0.817,2.5,1.7,0.4,4.2,4.6,3.2,0.8,0.3,22.5
Tyler Nelson,FU,33,36.5,7,16.6,0.42,3.2,8.9,0.353,5.1,5.8,0.88,2.5,1.7,0.5,3.6,4.2,3.3,1.4,0.1,22.2
Fletcher Magee,WC,34,33.6,7.4,15.4,0.484,4.4,9.9,0.439,2.9,3.1,0.907,1.6,1.8,0.3,2.7,2.9,1.7,0.9,0.1,22.1
Jerrick Harding,WSU,31,32.9,8,15.2,0.53,1.8,4.3,0.425,4.1,4.6,0.882,2.4,1.8,0.6,2.8,3.4,1.7,1.1,0.2,22
Junior Robinson,MSMU,32,36.3,7.1,16,0.446,2.4,6.3,0.388,5.3,5.9,0.899,2.8,2.7,0.6,2.3,2.9,4.8,1.2,0,22
Garrison Mathews,LIP,33,30.4,6.5,13.9,0.465,2.7,7.2,0.381,6,7.5,0.799,2.2,2.5,1.2,4.2,5.5,1.8,1,0.3,21.7
Shamorie Ponds,STJ,30,37,7.5,17.9,0.42,1.6,6.2,0.253,5,5.8,0.857,2.7,1.8,1.2,3.8,5,4.7,2.3,0.1,21.6
Jonathan Stark,MSU,32,36.4,6.9,15.3,0.451,3.4,8.6,0.399,4.2,4.7,0.893,2.4,1.8,0.4,2.3,2.7,3.9,1.3,0.2,21.4
Ryan Taylor,UE,25,35.2,7.8,18.3,0.426,2.7,6.3,0.424,3,3.5,0.864,2.3,2.3,0.5,3.4,3.8,1.1,0.8,0.2,21.3
Peyton Aldridge,DAV,33,37.7,7.6,15.9,0.479,2.3,6.1,0.381,3.6,4.3,0.851,1.2,1.5,1.4,6.2,7.6,2.5,0.4,0.6,21.2
Kelan Martin,BU,35,35.7,7.4,16.6,0.447,2.7,7.5,0.364,3.7,4.4,0.844,2.4,1.9,0.9,5.3,6.3,2,0.7,0.5,21.2
D'Marcus Simonds,GSU,35,34.9,7.9,17.2,0.461,1.2,4.1,0.292,4.2,5.9,0.702,3.6,2.9,1.3,4.4,5.7,4.4,1.7,0.7,21.2
Luwane Pipkins,UMass,32,34.8,7.1,16.6,0.43,3.3,7.8,0.426,3.6,4.6,0.788,3.4,2.1,0.5,3.1,3.6,4,1.5,0,21.2
Bogdan Bliznyuk,EWU,35,35.1,7.6,14.3,0.528,1.3,3.2,0.398,4.7,5.3,0.902,3.4,2.4,0.9,5.9,6.8,3.9,0.8,0.3,21.2
Jock Landale,SMC,36,33.3,8.4,13.1,0.64,0.1,0.3,0.3,4.3,5.8,0.746,2.3,3,2.9,7.2,10.2,2,0.4,1,21.1
Jahad Thomas,UML,27,36.3,7.8,15.2,0.515,0.6,1.6,0.364,4.9,7,0.698,3.5,2.6,2.6,5.8,8.4,4,1.8,0.3,21.1
Marvin Bagley III,DUKE,33,33.9,8.2,13.3,0.614,0.7,1.8,0.397,4,6.3,0.627,2.3,1.8,4,7.1,11.1,1.5,0.8,0.9,21
