TEAM,CONF
Michigan,B10
Baylor,B12
Illinois,B10
Gonzaga,WCC
Iowa,B10
Ohio State,B10
Houston,Amer
Alabama,SEC
West Virginia,B12
Texas,B12
Kansas,B12
Arkansas,SEC
Florida State,ACC
Virginia,ACC
Purdue,B10
Oklahoma State,B12
Villanova,BE
Tennessee,SEC
Creighton,BE
Colorado,P12
Texas Tech,B12
BYU,WCC
USC,P12
San Diego State,MWC
Florida,SEC
UConn,BE
Clemson,ACC
Oregon,P12
Oklahoma,B12
UNC,ACC
LSU,SEC
Loyola Chicago,MVC
St. Bonaventure,A10
Missouri,SEC
Wisconsin,B10
Georgia Tech,ACC
Rutgers University,B10
Virginia Tech,ACC
Maryland,B10
VCU,A10
Michigan State,B10
Wichita State,Amer
Syracuse,ACC
UCLA,P12
Utah State University,MWC
Drake,MVC
Georgetown,BE
Oregon State,P12
UC Santa Barbara,BW
Winthrop,BSth
Ohio,MAC
University of North Texas,CUSA
UNC Greensboro,SC
Liberty,ASun
Colgate,Pat
Eastern Washington,BSky
Abilene Christian,Slnd
Morehead State University,OVC
Iona,MAAC
Oral Roberts,Sum
Grand Canyon,WAC
Cleveland State University,Horz
Drexel,CAA
Mount St. Mary's,NEC
Hartford,AE
Norfolk State,MEAC
Texas Southern,SWAC
Appalachian State,SB
Howard,MEAC
South Carolina State,MEAC
Idaho,BSky
Maine,AE
Fordham,A10
Denver,Sum
Iowa State,B12
Mississippi Valley State,SWAC
San Diego,WCC
Northern Illinois,MAC
Delaware State,MEAC
Charleston Southern,BSth
American,Pat
Lehigh,Pat
Binghamton,AE
Towson,CAA
Alabama State,SWAC
Robert Morris,Horz
Boston College,ACC
Tennessee State,OVC
Cal Poly,BW
Arkansas Pine Bluff,SWAC
Bucknell,Pat
North Carolina Central,MEAC
Temple,Amer
Holy Cross,Pat
George Washington,A10
DePaul,BE
Saint Joseph's,A10
Western Michigan,MAC
San Jose State,MWC
Central Connecticut,NEC
USC Upstate,BSth
Middle Tennessee,CUSA
Kennesaw State,ASun
Central Arkansas,Slnd
Texas A&M Corpus Chris,Slnd
Air Force,MWC
Nebraska Omaha,Sum
Washington,P12
Tennessee Technological University,OVC
Alabama A&M,SWAC
Cal State Fullerton,BW
Loyola MD,Pat
Cal State Long Beach,BW
Eastern Michigan,MAC
Samford,SC
Alcorn State,SWAC
South Carolina,SEC
Portland,WCC
Wake Forest,ACC
Northern Arizona,BSky
New Mexico,MWC
St. Francis PA,NEC
Rider University,MAAC
Houston Baptist,Slnd
Canisius,MAAC
Delaware,CAA
Albany,AE
UC San Diego,BW
UNC Wilmington,CAA
William & Mary,CAA
Boston University,Pat
NJIT,AE
Manhattan,MAAC
Presbyterian,BSth
Western Illinois,Sum
Central Michigan,MAC
Illinois State,MVC
Louisiana Monroe,SB
Nebraska,B10
UMass,A10
IUPUI,Horz
Texas A&M,SEC
East Carolina,Amer
Southern,SWAC
Sacramento State,BSky
Florida A&M,MEAC
Dixie State,WAC
Incarnate Word,Slnd
North Florida,ASun
Fort Wayne,Horz
University of Tennessee at Martin,OVC
Southern Miss,CUSA
Green Bay,Horz
Southeastern Louisiana,Slnd
Lafayette,Pat
Duquesne,A10
LIU Brooklyn,NEC
Merrimack,NEC
Sacred Heart,NEC
Pacific,WCC
College of Charleston,CAA
St. Francis NY,NEC
UT Rio Grande Valley,WAC
Niagara,MAAC
South Florida,Amer
Portland State,BSky
Cal State Northridge,BW
Illinois Chicago,Horz
Quinnipiac,MAAC
Coppin State,MEAC
Stony Brook,AE
Northwestern,B10
High Point,BSth
Fairleigh Dickinson,NEC
Kentucky,SEC
La Salle,A10
Charlotte,CUSA
Evansville,MVC
Vanderbilt,SEC
FIU,CUSA
SIU Edwardsville,OVC
North Dakota,Sum
Eastern Illinois,OVC
Kansas State,B12
California,P12
Vermont,AE
Florida Gulf Coast,ASun
UC Davis,BW
New Hampshire,AE
Northeastern,CAA
Elon,CAA
UNC Asheville,BSth
Tarleton State,WAC
Pitt,ACC
Milwaukee,Horz
Tulane,Amer
Ball State,MAC
McNeese State,Slnd
Rhode Island,A10
Butler,BE
Northern Iowa,MVC
New Orleans,Slnd
Miami (FL),ACC
Fairfield,MAAC
Valparaiso,MVC
Lamar,Slnd
SMU,Amer
Hawaii,BW
North Carolina A&T,MEAC
Northern Colorado,BSky
Utah Valley,WAC
UMass Lowell,AE
Central Florida,Amer
Tulsa,Amer
Jacksonville,ASun
Arkansas State,SB
UMKC,Sum
Penn State,B10
Stetson,ASun
Hampton,BSth
Arizona State,P12
San Francisco,WCC
Notre Dame,ACC
Gardner Webb,BSth
Little Rock,SB
Southeast Missouri State,OVC
Western Carolina,SC
Troy,SB
Northwestern State,Slnd
Siena,MAAC
Jackson State,SWAC
Monmouth,MAAC
New Mexico State,WAC
Santa Clara,WCC
Marist College,MAAC
Army,Pat
Detroit Mercy,Horz
Cincinnati,Amer
Miami OH,MAC
Seattle,WAC
Texas-El Paso,CUSA
Fresno State,MWC
Grambling State,SWAC
Pepperdine,WCC
Utah,P12
TCU,B12
Southern Illinois,MVC
Indiana,B10
UNLV,MWC
Longwood,BSth
Bradley,MVC
Oakland,Horz
Chicago State,WAC
NC State,ACC
Montana State,BSky
Hofstra,CAA
Florida Atlantic,CUSA
Cal Baptist,WAC
Duke,ACC
North Alabama,ASun
Idaho State,BSky
East Tennessee State,SC
VMI,SC
The Citadel,SC
Providence,BE
Murray State,OVC
Georgia Southern,SB
UT Arlington,SB
Marquette,BE
Auburn,SEC
Louisville,ACC
Bellarmine,ASun
James Madison,CAA
Wagner,NEC
Richmond,A10
Davidson,A10
Xavier,BE
George Mason,A10
Loyola Marymount,WCC
Northern Kentucky,Horz
Saint Peter's,MAAC
Bowling Green,MAC
Wyoming,MWC
South Dakota,Sum
Georgia,SEC
Seton Hall,BE
Austin Peay,OVC
Stanford,P12
Washington State,P12
Minnesota,B10
Saint Louis,A10
UMBC,AE
UC Riverside,BW
Morgan State,MEAC
Dayton,A10
Saint Mary's,WCC
Indiana State,MVC
Cal St. Bakersfield,BW
UTSA,CUSA
Lipscomb,ASun
Radford,BSth
Youngstown State,Horz
North Dakota State,Sum
Montana,BSky
Rice University,CUSA
Mississippi State,SEC
Navy,Pat
