Pk,Tm,Player1,College
1,POR,Greg Oden,Ohio State
2,SEA,Kevin Durant,Texas
3,ATL,Al Horford,Florida
4,MEM,Mike Conley,Ohio State
5,BOS,Jeff Green,Georgetown
7,MIN,Corey Brewer,Florida
8,CHA,Brandan Wright,UNC
9,CHI,Joakim Noah,Florida
10,SAC,Spencer Hawes,Washington
11,ATL,Acie Law,Texas A&M
12,PHI,Thaddeus Young,Georgia Tech
13,NOK,Julian Wright,Kansas
14,LAC,Al Thornton,Florida State
15,DET,Rodney Stuckey,Eastern Washington
16,WAS,Nick Young,USC
17,NJN,Sean Williams,Boston College
19,LAL,Javaris Crittenton,Georgia Tech
20,MIA,Jason Smith,Colorado State
21,PHI,Daequan Cook,Ohio State
22,CHA,Jared Dudley,Boston College
23,NYK,Wilson Chandler,DePaul
25,UTA,Morris Almond,Rice University
26,HOU,Aaron Brooks,Oregon
27,DET,Arron Afflalo,UCLA
29,PHO,Alando Tucker,Wisconsin
31,SEA,Carl Landry,Purdue
32,BOS,Gabe Pruitt,USC
33,SAS,Marcus Williams,Arizona
34,DAL,Nick Fazekas,Nevada
35,SEA,Glen Davis,LSU
36,GSW,Jermareo Davidson,Alabama
37,POR,Josh McRoberts,Duke
41,MIN,Chris Richard,Florida
42,POR,Derrick Byars,Vanderbilt
43,NOK,Adam Haluska,Iowa
44,ORL,Reyshawn Terry,UNC
45,LAC,Jared Jordan,Marist College
46,GSW,Stéphane Lasme,UMass
47,WAS,Dominic McGuire,Fresno State
49,CHI,Aaron Gray,Pitt
51,CHI,JamesOn Curry,Oklahoma State
52,POR,Taurean Green,Florida
53,POR,Demetris Nichols,Syracuse
55,UTA,Herbert Hill,Providence
56,MIL,Ramon Sessions,Nevada
57,DET,Sammy Mejia,DePaul
59,PHO,D.J. Strawberry,Maryland
1,CHI,Derrick Rose,Memphis
2,MIA,Michael Beasley,Kansas State
3,MIN,O.J. Mayo,USC
4,SEA,Russell Westbrook,UCLA
5,MEM,Kevin Love,UCLA
7,LAC,Eric Gordon,Indiana
8,MIL,Joe Alexander,West Virginia
9,CHA,D.J. Augustin,Texas
10,NJN,Brook Lopez,Stanford
11,IND,Jerryd Bayless,Arizona
12,SAC,Jason Thompson,Rider University
13,POR,Brandon Rush,Kansas
14,GSW,Anthony Randolph,LSU
15,PHO,Robin Lopez,Stanford
16,PHI,Marreese Speights,Florida
17,TOR,Roy Hibbert,Georgetown
18,WAS,JaVale McGee,Nevada
19,CLE,J.J. Hickson,NC State
21,NJN,Ryan Anderson,California
22,ORL,Courtney Lee,Western Kentucky
23,UTA,Kosta Koufos,Ohio State
26,SAS,George Hill,IUPUI
27,NOH,Darrell Arthur,Kansas
28,MEM,Donté Greene,Syracuse
29,DET,D.J. White,Indiana
30,BOS,J.R. Giddens,New Mexico
32,SEA,Walter Sharpe,UAB
33,POR,Joey Dorsey,Memphis
34,MIN,Mario Chalmers,Kansas
35,LAC,DeAndre Jordan,Texas A&M
37,MIL,Luc Mbah a Moute,UCLA
38,CHA,Kyle Weaver,Washington State
39,CHI,Sonny Weems,Arkansas
40,NJN,Chris Douglas-Roberts,Memphis
42,SAC,Sean Singletary,Virginia
43,SAC,Patrick Ewing,Georgetown
46,SEA,Trent Plaisted,Brigham Young University Hawaii
47,WAS,Henry Walker,Kansas State
48,PHO,Malik Hairston,Oregon
49,GSW,Richard Hendrix,Alabama
50,SEA,DeVon Hardin,California
51,DAL,Shan Foster,Vanderbilt
52,MIA,Darnell Jackson,Kansas
54,HOU,Maarty Leunen,Oregon
55,POR,Mike Taylor,Iowa State
56,SEA,Sasha Kaun,Kansas
57,SAS,James Gist,Maryland
58,LAL,Joe Crawford,Kentucky
59,DET,Deron Washington,Virginia Tech
1,LAC,Blake Griffin,Oklahoma
2,MEM,Hasheem Thabeet,UConn
3,OKC,James Harden,Arizona State
4,SAC,Tyreke Evans,Memphis
6,MIN,Jonny Flynn,Syracuse
7,GSW,Stephen Curry,Davidson
8,NYK,Jordan Hill,Arizona
9,TOR,DeMar DeRozan,USC
11,NJN,Terrence Williams,Louisville
12,CHA,Gerald Henderson,Duke
13,IND,Tyler Hansbrough,UNC
14,PHO,Earl Clark,Louisville
15,DET,Austin Daye,Gonzaga
16,CHI,James Johnson,Wake Forest
17,PHI,Jrue Holiday,UCLA
18,MIN,Ty Lawson,UNC
19,ATL,Jeff Teague,Wake Forest
20,UTA,Eric Maynor,VCU
21,NOH,Darren Collison,UCLA
24,DAL,Byron Mullens,Ohio State
26,CHI,Taj Gibson,USC
27,MEM,DeMarre Carroll,Missouri
28,MIN,Wayne Ellington,UNC
29,LAL,Toney Douglas,Florida State
31,SAC,Jeff Ayres,Arizona State
32,WAS,Jermaine Taylor,Central Florida
33,POR,Dante Cunningham,Villanova
35,DET,DaJuan Summers,Georgetown
36,MEM,Sam Young,Pitt
37,SAS,DeJuan Blair,Pitt
38,POR,Jon Brockman,Washington
40,CHA,Derrick Brown,Xavier
41,MIL,Jodie Meeks,Kentucky
42,LAL,Patrick Beverley,Arkansas
43,MIA,Marcus Thornton,LSU
44,DET,Chase Budinger,Arizona
45,MIN,Nick Calathes,Florida
46,CLE,Danny Green,UNC
48,PHO,Taylor Griffin,Oklahoma
50,UTA,Goran Suton,Michigan State
51,SAS,Jack McClinton,Miami (FL)
52,IND,A.J. Price,UConn
54,CHA,Robert Vaden,UAB
55,POR,Patty Mills,Saint Mary's
56,DAL,Ahmad Nivins,Saint Joseph's
